Date,OpenPrice,HighPrice,LowPrice,ClosePrice,WAP,Volume,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-Dec-14,1959,1979,1951,1971.2,1967.798333,942220,4284,1854098945,912466,96.84,28,12.2
1-Jan-15,1967.8,1981.2,1957.45,1975.8,1972.204728,38031,3712,75004918,16232,42.68,23.75,8
2-Jan-15,1975,2019.6,1973.9,2013.45,2001.973152,61011,6879,122142384,25532,41.85,45.7,38.45
5-Jan-15,2014.7,2029.65,1977.65,1996.6,2006.156214,82374,8886,165255112,36107,43.83,52,-18.1
6-Jan-15,1984.9,1988,1935,1956.85,1953.363967,221586,16076,432838108,132099,59.62,53,-28.05
7-Jan-15,1957.1,1975.3,1950,1964.8,1965.099439,774738,11785,1522437209,696719,89.93,25.3,7.7
8-Jan-15,1982.5,1996.85,1951,1974.55,1962.740813,787864,10915,1546372828,732650,92.99,45.85,-7.95
9-Jan-15,1985,2108,1914.1,2073.6,2030.330906,1128867,114311,2291973559,166176,14.72,193.9,88.6
12-Jan-15,2095.05,2119,2076.25,2114.75,2100.289613,221565,18848,465350668,67426,30.43,42.75,19.7
13-Jan-15,2114.4,2114.4,2075.15,2087.25,2087.945052,93215,9527,194627798,24996,26.82,39.25,-27.15
14-Jan-15,2095,2135,2092.9,2128.8,2111.913161,153260,12490,323671811,67541,44.07,42.1,33.8
15-Jan-15,2144,2152.9,2114.5,2133.95,2137.435727,119513,13818,255451356,60575,50.68,38.4,-10.05
16-Jan-15,2140.2,2147.35,2110,2114.15,2122.952301,68114,6788,144602773,17359,25.49,37.35,-26.05
19-Jan-15,2118,2131,2095.8,2102.4,2104.536809,60895,5767,128155769,22841,37.51,35.2,-15.6
20-Jan-15,2102.4,2132.9,2100.45,2122.35,2116.841092,68958,5951,145973128,22833,33.11,32.45,19.95
21-Jan-15,2126.2,2170,2117.3,2165.1,2161.09439,360800,9675,779722856,23954,6.64,52.7,38.9
22-Jan-15,2169,2202,2161.8,2195.7,2192.096796,84270,10865,184727997,33394,39.63,40.2,26.7
23-Jan-15,2200,2222,2166.75,2214.05,2196.390532,105912,9755,232624114,39645,37.43,55.25,14.05
27-Jan-15,2214.05,2216,2131,2136,2148.614685,112739,13434,242232671,53785,47.71,85,-78.05
28-Jan-15,2146.55,2154.5,2133,2145.1,2144.914573,84013,8839,180200708,38307,45.6,21.5,-1.45
29-Jan-15,2135.2,2149.35,2128.25,2142.9,2141.872137,158005,12186,338426507,76686,48.53,21.1,7.7
30-Jan-15,2152,2163.6,2126.4,2142.75,2154.6892,241853,5173,521118047,209768,86.73,37.2,-9.25
2-Feb-15,2140,2151.2,2127.65,2134.35,2141.174697,64483,6786,138069368,18885,29.29,23.55,-5.65
3-Feb-15,2140,2140,2103.05,2120.35,2117.937176,73571,8347,155818756,21147,28.74,36.95,-19.65
4-Feb-15,2128,2149.5,2128,2142.05,2140.849787,54536,6308,116753384,12345,22.64,21.5,14.05
5-Feb-15,2144,2220,2144,2193.6,2184.458334,179273,17158,391614399,89326,49.83,76,49.6
6-Feb-15,2193,2246.75,2192.4,2229.35,2226.807931,121493,11523,270541576,23676,19.49,54.35,36.35
9-Feb-15,2229.35,2255,2206.4,2250.2,2239.691238,160907,16465,360381998,81749,50.81,48.6,20.85
10-Feb-15,2244.9,2297.4,2225,2280.3,2269.562228,141656,13026,321497107,55577,39.23,72.4,35.4
11-Feb-15,2275,2295,2258.25,2287.2,2279.587966,60563,7467,138058686,20058,33.12,36.75,12.2
12-Feb-15,2280,2322.85,2275,2315.45,2301.372038,79766,9095,183571242,33981,42.6,47.85,35.45
13-Feb-15,2311,2324.9,2286.95,2296.4,2311.371235,109731,5570,253629077,69039,62.92,37.95,-14.6
16-Feb-15,2281,2305.85,2266,2278.5,2284.961866,85541,10149,195457923,22164,25.91,39.85,-2.5
18-Feb-15,2284,2305,2261.1,2295.75,2282.060987,69884,6639,159479550,26665,38.16,43.9,11.75
19-Feb-15,2304,2333.9,2292,2326.6,2321.485466,85835,8847,199264705,29728,34.63,41.9,22.6
20-Feb-15,2324,2335.2,2277,2284.3,2301.631421,79717,10233,183479152,23045,28.91,58.2,-39.7
23-Feb-15,2303.95,2311,2253.25,2270.7,2281.912259,75951,7344,173313518,24969,32.88,57.75,-33.25
24-Feb-15,2276.05,2295,2258,2278.15,2281.058946,52251,7726,119187611,13292,25.44,37,2.1
25-Feb-15,2290,2332,2278.35,2318.05,2315.100614,161995,10174,375034724,102972,63.56,53.65,28.05
26-Feb-15,2314.9,2314.9,2250,2259.5,2277.198325,69845,8403,159050917,22046,31.56,64.9,-55.4
27-Feb-15,2267.25,2280.85,2258,2266.35,2269.239841,50721,4938,115098114,12297,24.24,22.85,-0.9
28-Feb-15,2270,2310,2258,2294.85,2279.192068,73422,8043,167342840,11556,15.74,52,24.85
2-Mar-15,2300,2308,2278.4,2291.45,2289.94648,38621,7328,88440023,9859,25.53,29.6,-8.55
3-Mar-15,2291,2309,2279.45,2297.35,2293.917071,39781,4220,91254315,8455,21.25,29.55,6.35
4-Mar-15,2299,2313.5,2252.35,2272.6,2283.764385,71430,7938,163129290,19279,26.99,61.15,-26.4
5-Mar-15,2268.4,2297.4,2236,2251.7,2255.400294,62659,6047,141321127,12343,19.7,61.4,-16.7
9-Mar-15,2255,2256,2179.2,2190.55,2201.014004,121463,10648,267341764,32461,26.73,76.8,-64.45
10-Mar-15,2200,2207,2163.3,2200.1,2197.010549,90340,7369,198477933,41336,45.76,43.7,0.1
11-Mar-15,2190,2240,2172.6,2183.6,2210.509888,127073,10867,280896123,55436,43.63,67.4,-6.4
12-Mar-15,2184.9,2226.35,2177.5,2217.8,2210.878973,86262,7915,190714842,33629,38.98,48.85,32.9
13-Mar-15,2226.1,2228.8,2194.4,2216.45,2211.137557,55664,6963,123080761,14839,26.66,34.4,-9.65
16-Mar-15,2210,2282,2210,2267,2254.183161,77167,10568,173948552,29231,37.88,72,57
17-Mar-15,2260.2,2278.5,2218.2,2241.95,2249.462588,84879,9145,190932135,23115,27.23,60.3,-18.25
18-Mar-15,2250,2260.75,2220,2230.2,2239.866566,41571,3944,93113493,9568,23.02,40.75,-19.8
19-Mar-15,2227,2244.15,2224.2,2229.9,2228.418445,510708,5515,1138071127,463615,90.78,19.95,2.9
20-Mar-15,2233,2269.5,2233,2258.95,2256.706681,78706,9129,177616356,32761,41.62,36.5,25.95
23-Mar-15,2252,2275,2226.85,2232.4,2235.787086,360348,6685,805661405,302866,84.05,48.15,-19.6
24-Mar-15,2230,2252,2206.25,2212.1,2225.500786,54726,5590,121792756,11356,20.75,45.75,-17.9
25-Mar-15,2217.3,2227.7,2200,2217.7,2215.111856,73237,7082,162228147,20432,27.9,27.7,0.4
26-Mar-15,2212,2213.5,2130,2144.45,2163.900265,113160,10333,244866954,52866,46.72,83.5,-67.55
27-Mar-15,2164,2225,2160,2201.95,2203.864854,80772,9486,178010572,22781,28.2,65,37.95
30-Mar-15,2214,2244.05,2195.45,2229.8,2217.166569,57982,4882,128555752,27706,47.78,48.6,15.8
31-Mar-15,2243.6,2272,2204.85,2216.6,2223.005056,76544,8428,170157699,22613,29.54,67.15,-27
1-Apr-15,2209.4,2209.4,2160,2172.25,2171.141175,158123,12042,343307356,45043,28.49,49.4,-37.15
6-Apr-15,2178,2185,2162,2177.2,2171.639866,58059,6408,126083239,20363,35.07,23,-0.8
7-Apr-15,2180,2183.95,2141.8,2161.25,2160.839031,70057,7693,151381900,16496,23.55,42.15,-18.75
8-Apr-15,2175.5,2206.85,2174,2200.8,2191.563884,39799,4709,87222051,12006,30.17,32.85,25.3
9-Apr-15,2210,2216.4,2187,2211.4,2203.977082,34035,4419,75012360,7766,22.82,29.4,1.4
10-Apr-15,2210,2239,2210,2233.3,2229.844739,46425,4705,103520542,16525,35.6,29,23.3
13-Apr-15,2235,2244,2217.6,2239,2234.180436,33879,4133,75691799,7200,21.25,26.4,4
15-Apr-15,2238.9,2242.9,2195.5,2213.2,2213.987626,44205,5433,97869323,11516,26.05,47.4,-25.7
16-Apr-15,2215,2230,2156.25,2191.1,2178.956719,74490,8126,162310486,23205,31.15,73.75,-23.9
17-Apr-15,2188,2195,2153.45,2181.95,2178.121752,32599,4426,71004591,7798,23.92,41.55,-6.05
20-Apr-15,2181,2184,2117.25,2133.25,2122.727049,803964,8159,1706596129,351483,43.72,66.75,-47.75
21-Apr-15,2138,2152.45,2119.8,2144.4,2137.172858,165766,6313,354270596,130810,78.91,32.65,6.4
22-Apr-15,2146.15,2175,2100.25,2138.45,2122.470302,79181,8455,168059321,25081,31.68,74.75,-7.7
23-Apr-15,2145.3,2145.3,2112.5,2122.55,2122.261206,106525,8014,226073875,53834,50.54,32.8,-22.75
24-Apr-15,2131,2150,1982,1996.25,2079.198105,1521097,115788,3162662000,450632,29.63,168,-134.75
27-Apr-15,2001,2010,1950,1986,1971.573373,342672,28557,675602991,187868,54.82,60,-15
28-Apr-15,1988,1988,1953,1961.35,1962.281421,245184,21573,481120008,141635,57.77,35,-26.65
29-Apr-15,1965,1972,1938.55,1961.6,1957.130323,157079,17042,307424074,68827,43.82,33.45,-3.4
30-Apr-15,1960,1960.15,1932.65,1942.4,1944.104404,349958,18908,680354889,141332,40.39,27.5,-17.6
4-May-15,1961,1999,1950,1994.3,1973.601,104050,16047,205353184,36987,35.55,49,33.3
5-May-15,2000,2005,1955,1966.75,1970.024583,240455,17679,473702261,151351,62.94,50,-33.25
6-May-15,1979,1980,1917.5,1922.5,1927.324237,426919,30007,822811336,270448,63.35,62.5,-56.5
7-May-15,1928.8,1967,1911.1,1942.8,1939.726065,128016,16179,248315972,39492,30.85,55.9,14
8-May-15,1963.9,1968.6,1945.8,1958,1956.122714,68142,8837,133294114,22756,33.39,22.8,-5.9
11-May-15,1965.1,2000,1954,1992,1978.300679,121332,5962,240031178,54896,45.24,46,26.9
12-May-15,1998.9,1998.9,1941.25,1949.6,1955.013614,183414,7686,358576867,129049,70.36,57.65,-49.3
13-May-15,1954,1965,1932.6,1955.95,1954.604251,1676667,12562,3277220445,1514983,90.36,32.4,1.95
14-May-15,1960,1960,1910,1934.55,1929.424127,132623,7961,255886016,59806,45.09,50,-25.45
15-May-15,1935.1,1965,1935,1959.75,1951.376808,85168,4715,166194860,33977,39.89,30,24.65
18-May-15,1964.2,1998,1962.05,1991.75,1978.57451,117246,6414,231979947,78080,66.6,35.95,27.55
19-May-15,1989,2032.7,1984.4,2018.15,2016.790562,92395,6005,186341364,23961,25.93,48.3,29.15
20-May-15,2033.55,2051,2033.55,2044.7,2044.318771,68143,3972,139306014,20817,30.55,17.45,11.15
21-May-15,2049,2061,2035,2043.35,2045.554903,54123,3172,110711568,15888,29.36,26,-5.65
22-May-15,2045,2049.4,2030.05,2041.8,2043.175417,172287,3778,352012563,127246,73.86,19.35,-3.2
25-May-15,2050,2056.9,2007,2018,2027.51185,84132,4450,170578627,37645,44.75,49.9,-32
26-May-15,2021,2031.05,2000.5,2009.3,2015.112517,119724,4617,241257331,50685,42.33,30.55,-11.7
27-May-15,2015,2015,1953.75,1969.05,1967.329381,137813,6411,271123564,68230,49.51,61.25,-45.95
28-May-15,1980,2027,1976.3,2014.3,1995.636557,105359,5804,210258272,46037,43.7,50.7,34.3
29-May-15,2017,2053.5,2003.75,2022.4,2025.214713,186598,9046,377901015,63702,34.14,49.75,5.4
1-Jun-15,2030,2063,2023.3,2045.7,2047.005122,79075,5558,161866930,31957,40.41,39.7,15.7
2-Jun-15,2045,2054.8,2005.1,2008.8,2015.735286,138784,6055,279751806,75685,54.53,49.7,-36.2
3-Jun-15,2020,2060,2008.25,2023.1,2018.004105,174177,7107,351489901,89847,51.58,51.75,3.1
4-Jun-15,2031,2056.6,2014.35,2028.05,2036.900349,86442,6500,176073740,21354,24.7,42.25,-2.95
5-Jun-15,2039,2044,2009.15,2012.1,2020.427273,119921,6928,242291659,59962,50,34.85,-26.9
8-Jun-15,2012,2020.25,1990,2000.25,2001.39659,56073,5177,112224311,23496,41.9,30.25,-11.75
9-Jun-15,2013,2013,1985.1,1992.55,1991.3394,162858,4726,324305552,120016,73.69,27.9,-20.45
10-Jun-15,2010,2039.7,1986,2026.2,2008.856315,106086,5552,213111531,36971,34.85,53.7,16.2
11-Jun-15,2035,2045,1997.05,2001.85,2012.887545,219093,7132,441009571,141026,64.37,47.95,-33.15
12-Jun-15,2002,2024.5,1955.5,1976.65,2003.383869,364406,11369,730045102,247907,68.03,69,-25.35
15-Jun-15,980,998.85,968.5,991.1,989.044834,352567,8291,348704570,159739,45.31,30.35,11.1
16-Jun-15,994,1002,985,999.45,994.9413913,124572,4971,123941839,50185,40.29,17,5.45
17-Jun-15,1007,1020.4,993.3,995.8,1002.826543,200684,7792,201251242,68163,33.97,27.1,-11.2
18-Jun-15,1000.25,1005.95,996,1000.9,1001.365804,98293,3690,98427249,31006,31.54,9.95,0.65
19-Jun-15,1005,1010.3,992.5,996.75,1001.406049,105608,4277,105756490,43656,41.34,17.8,-8.25
